iter	Logloss
168	0.3904173181
169	0.3891962302
170	0.3884808196
171	0.3873725699
172	0.3858869964
173	0.3854809502
174	0.3851306392
175	0.3839752454
176	0.3833161683
177	0.382938759
178	0.3820419098
179	0.3813061113
180	0.3802512033
181	0.3797706155
182	0.3792416014
183	0.3784831071
184	0.3774579045
185	0.3768524255
186	0.3765295974
187	0.3761774485
188	0.3756378772
189	0.3745879272
190	0.3739943731
191	0.3730666217
192	0.3727797393
193	0.3722527768
194	0.3717680004
195	0.3711299095
196	0.3707264278
197	0.3700300799
198	0.3691505411
199	0.3684328223
200	0.3681503852
201	0.3676980924
202	0.3674346753
203	0.3671842516
204	0.3655403629
205	0.3646664232
206	0.3636990074
207	0.3634620047
208	0.3623387526
209	0.3616516797
210	0.3614275849
211	0.3605327873
212	0.3595669957
213	0.358996394
214	0.3587842669
215	0.358583851
216	0.3574772255
217	0.3572875806
218	0.3566658811
219	0.3564861308
220	0.3556268943
221	0.3554575517
222	0.3548979345
223	0.3542308647
224	0.3537657281
225	0.3533448719
226	0.3526652788
227	0.3521779165
228	0.3518030931
229	0.3516422133
230	0.3512553581
231	0.3509075902
232	0.3501818788
233	0.3500232429
234	0.3498780066
235	0.3493283055
236	0.3491845866
237	0.3481676545
238	0.346724951
239	0.3465936912
240	0.3464633076
241	0.3461552254
242	0.3450566781
243	0.3442041306
244	0.3435883936
245	0.3430965434
246	0.3425606265
247	0.3424367825
248	0.341948779
249	0.3416652305
250	0.3415474344
251	0.3414360281
252	0.3411937895
253	0.340134073
254	0.3400285651
255	0.3397689306
256	0.3396665001
257	0.3392354928
258	0.3386376645
259	0.3374786804
260	0.3373808874
261	0.3371533733
262	0.3365057082
263	0.3362075848
264	0.3354058573
265	0.3351751803
266	0.3346918998
267	0.3339198137
268	0.3338263162
269	0.3333820802
270	0.3332921731
271	0.3332066469
272	0.3329381435
273	0.3328569343
274275	0.31378250275276	0.31361690276277	0.31284620277278	0.31255193278279	0.31216537279280	0.31201024280281	0.31169902281282	0.31120992282283	0.31068792283284	0.30994049284285	0.3095283285	286	0.3091294286	287	0.3085430287	288	0.3081826288	289	0.3073671289	290	0.307065290	0291	0.30653291	0.292	0.30617292	0.293	0.30586293	0.294	0.30547294	0.3243715943
295	0.3232655245
296	0.3228614444
297	0.3217546479
298	0.3213958313
299	0.3209604429
300	0.3205684373
301	0.3205078937
302	0.3200769932
303	0.3190788889
304	0.3190214013
305	0.318513758
306	0.3178941956
307	0.3178384391
308	0.3174668854
309	0.3171049914
310	0.3163931924
311	0.3160747881
312	0.3158529159
313	0.3150316767
314	0.3143980309
315	0.3136606938
316	0.3132189155
317	0.3125107923
318	0.311604775
319	0.3111869748
320	0.3107219023
321	0.3101249716
322	0.3095859987
323	0.3093528427
324	0.3092257716
325	0.3088237859
326	0.3079247354
327	0.307642918
328	0.3069722365
329	0.3065394126
330	0.3058378716
331	0.3050282369
332	0.304821944
333	0.3044967438
334	0.3037545127
335	0.3034449559
336	0.3028515728
337	0.3026482718
338	0.3023102491
339	0.3019606646
340	0.3015054014
341	0.3011059587
342	0.3005745725
343	0.3001534598
344	0.2994487987
345	0.2990067426
346	0.2982793856
347	0.2978952873
348	0.297256427
349	0.2970602853
350	0.2966937324
351	0.2961939323
352	0.2960087325
353	0.295150073
354	0.2947839475
355	0.2944793274
356	0.2942875881
357	0.2939411879
358	359	0.2793464359	360	0.2788873360	361	0.2785568361	0.2933063667
362	0.2930463689
363	0.2923922285
364	0.2921384069
365	0.2918651591
366	0.2910979242
367	0.2908226462
368	0.2904949028
369	0.2901839996
370	0.2897724184
371	0.2895068
372	0.2888221206
373	0.2886179008
374	0.2882868235
375	0.2879945985
376	0.2877637078
377	0.2875044793
378	0.2868895971
379	0.2867197416
380	0.2861136428
381	0.2858924118
382	0.2855879199
383	0.285343822
384	0.285184545
385	0.2848912514
386	0.2846630962
387	0.2844508836
388	0.284142203
389	0.2840146618
390	0.2837905456
391	0.2835170628
392	0.2832384083
393	0.2825507583
394	0.2823042242
395	0.2820875237
396	0.2817475348
397	0.281493243
398	0.2809616431
399	0.2807750542
7185
