YEAR,DATE,CAT,RACE,WINNER,RACE_URL
2012,18.08,1.HC,Tre Valli Varesine,D. Veilleux,https://firstcycling.com/race.php?r=190&y=2012
2012,20.08-26.08,2.HC,USA Challenge,C. Vande Velde,https://firstcycling.com/race.php?r=90&y=2012
2012,22.08-26.08,2.HC,PostNord Tour of Denmark,L. Westra,https://firstcycling.com/race.php?r=32&y=2012
2012,08.09,1.HC,Brussels Classic,T. Boonen,https://firstcycling.com/race.php?r=64&y=2012
2012,09.09,1.HC,GP de Fourmies,L. Bak,https://firstcycling.com/race.php?r=92&y=2012
2012,26.09,1.HC,Milano - Torino,A. Contador,https://firstcycling.com/race.php?r=89&y=2012
2012,27.09,1.HC,Gran Piemonte,R. Uran,https://firstcycling.com/race.php?r=61&y=2012
2012,06.10,1.HC,Giro dell'Emilia,N. Quintana,https://firstcycling.com/race.php?r=29&y=2012
2012,07.10,1.HC,Paris - Tours,M. Marcato,https://firstcycling.com/race.php?r=28&y=2012
2012,14.10,1.HC,Tour de Vendée,W. Kreder,https://firstcycling.com/race.php?r=94&y=2012
2012,20.10-28.10,2.HC,Tour of Hainan,D. Gruzdev,https://firstcycling.com/race.php?r=139&y=2012
2012,21.10,1.HC,Japan Cup,I. Basso,https://firstcycling.com/race.php?r=95&y=2012
2013,03.02-08.02,2.HC,Tour of Qatar,M. Cavendish,https://firstcycling.com/race.php?r=51&y=2013
2013,11.02-16.02,2.HC,Tour of Oman,C. Froome,https://firstcycling.com/race.php?r=57&y=2013
2013,21.02-02.03,2.HC,Tour de Langkawi,J. Arredondo,https://firstcycling.com/race.php?r=128&y=2013
2013,23.02,1.HC,Omloop Nieuwsblad,L. Paolini,https://firstcycling.com/race.php?r=53&y=2013
2013,24.02,1.HC,Clasica de Almeria,M. Renshaw,https://firstcycling.com/race.php?r=129&y=2013
2013,20.03,1.HC,Dwars door Vlaanderen,O. Gatto,https://firstcycling.com/race.php?r=75&y=2013
2013,23.03-24.03,2.HC,Critérium International,C. Froome,https://firstcycling.com/race.php?r=55&y=2013
2013,26.03-28.03,2.HC,Classic Brugge-De Panne,S. Chavanel,https://firstcycling.com/race.php?r=40&y=2013
2013,03.04,1.HC,Scheldeprijs,M. Kittel,https://firstcycling.com/race.php?r=56&y=2013
2013,10.04,1.HC,Brabantse Pijl,P. Sagan,https://firstcycling.com/race.php?r=77&y=2013
2013,16.04-19.04,2.HC,Tour of the Alps,V. Nibali,https://firstcycling.com/race.php?r=62&y=2013
2013,21.04-28.04,2.HC,Tour of Türkiye,M. Sayar,https://firstcycling.com/race.php?r=152&y=2013
2013,01.05-05.05,2.HC,4 Jours de Dunkerque,A. Démare,https://firstcycling.com/race.php?r=175&y=2013
2013,01.05,1.HC,Eschborn-Frankfurt,S. Spilak,https://firstcycling.com/race.php?r=35&y=2013
2013,12.05-19.05,2.HC,Tour of California,T. van Garderen,https://firstcycling.com/race.php?r=30&y=2013
2013,22.05-26.05,2.HC,Bayern Rundfahrt,A. Malori,https://firstcycling.com/race.php?r=39&y=2013
2013,22.05-26.05,2.HC,Belgium Tour,T. Martin,https://firstcycling.com/race.php?r=60&y=2013
2013,12.06-16.06,2.HC,Tour de Luxembourg,P. Martens,https://firstcycling.com/race.php?r=37&y=2013
2013,30.06-07.07,2.HC,Tour of Austria,R. Zoidl,https://firstcycling.com/race.php?r=38&y=2013
2013,07.07-20.07,2.HC,Tour of Qinghai Lake,S. Pourseyedi,https://firstcycling.com/race.php?r=127&y=2013
2013,20.07-24.07,2.HC,Tour de Wallonie,G. Van Avermaet,https://firstcycling.com/race.php?r=193&y=2013
2013,31.07-04.08,2.HC,PostNord Tour of Denmark,W. Kelderman,https://firstcycling.com/race.php?r=32&y=2013
2013,07.08-11.08,2.HC,Vuelta a Burgos,N. Quintana,https://firstcycling.com/race.php?r=192&y=2013
2013,19.08-25.08,2.HC,USA Challenge,T. van Garderen,https://firstcycling.com/race.php?r=90&y=2013
2013,23.08,1.HC,Tre Valli Varesine,K. Durasek,https://firstcycling.com/race.php?r=190&y=2013
2013,07.09,1.HC,Brussels Classic,A. Greipel,https://firstcycling.com/race.php?r=64&y=2013
2013,08.09,1.HC,GP de Fourmies,N. Bouhanni,https://firstcycling.com/race.php?r=92&y=2013
2013,02.10,1.HC,Milano - Torino,D. Ulissi,https://firstcycling.com/race.php?r=89&y=2013
2013,06.10,1.HC,Tour de Vendée,N. Bouhanni,https://firstcycling.com/race.php?r=94&y=2013
2013,12.10,1.HC,Giro dell'Emilia,D. Ulissi,https://firstcycling.com/race.php?r=29&y=2013
2013,13.10,1.HC,Paris - Tours,J. Degenkolb,https://firstcycling.com/race.php?r=28&y=2013
2013,20.10,1.HC,Japan Cup,M. Rogers,https://firstcycling.com/race.php?r=95&y=2013
2013,20.10-28.10,2.HC,Tour of Hainan,M. Hofland,https://firstcycling.com/race.php?r=139&y=2013
2014,09.02-14.02,2.HC,Tour of Qatar,N. Terpstra,https://firstcycling.com/race.php?r=51&y=2014
2014,18.02-23.02,2.HC,Tour of Oman,C. Froome,https://firstcycling.com/race.php?r=57&y=2014
2014,27.02-08.03,2.HC,Tour de Langkawi,S. Pourseyedi,https://firstcycling.com/race.php?r=128&y=2014
2014,01.03,1.HC,Omloop Nieuwsblad,I. Stannard,https://firstcycling.com/race.php?r=53&y=2014
2014,02.03,1.HC,Clasica de Almeria,S. Bennett,https://firstcycling.com/race.php?r=129&y=2014
2014,26.03,1.HC,Dwars door Vlaanderen,N. Terpstra,https://firstcycling.com/race.php?r=75&y=2014
2014,29.03-30.03,2.HC,Critérium International,J. Péraud,https://firstcycling.com/race.php?r=55&y=2014
2014,01.04-03.04,2.HC,Classic Brugge-De Panne,G. Van Keirsbulck,https://firstcycling.com/race.php?r=40&y=2014
2014,09.04,1.HC,Scheldeprijs,M. Kittel,https://firstcycling.com/race.php?r=56&y=2014
2014,16.04,1.HC,Brabantse Pijl,P. Gilbert,https://firstcycling.com/race.php?r=77&y=2014
2014,22.04-25.04,2.HC,Tour of the Alps,C. Evans,https://firstcycling.com/race.php?r=62&y=2014
2014,27.04-04.05,2.HC,Tour of Türkiye,A. Yates,https://firstcycling.com/race.php?r=152&y=2014
2014,01.05,1.HC,Eschborn-Frankfurt,A. Kristoff,https://firstcycling.com/race.php?r=35&y=2014
2014,07.05-11.05,2.HC,4 Jours de Dunkerque,A. Démare,https://firstcycling.com/race.php?r=175&y=2014
2014,11.05-18.05,2.HC,Tour of California,B. Wiggins,https://firstcycling.com/race.php?r=30&y=2014
2014,21.05-25.05,2.HC,Tour of Norway,M. Paterski,https://firstcycling.com/race.php?r=71&y=2014
2014,28.05-01.06,2.HC,Bayern Rundfahrt,G. Thomas,https://firstcycling.com/race.php?r=39&y=2014
2014,28.05-01.06,2.HC,Belgium Tour,T. Martin,https://firstcycling.com/race.php?r=60&y=2014
2014,04.06-08.06,2.HC,Tour de Luxembourg,M. Breschel,https://firstcycling.com/race.php?r=37&y=2014
2014,12.06,1.HC,GP Kanton Aargau,S. Geschke,https://firstcycling.com/race.php?r=199&y=2014
2014,06.07-13.07,2.HC,Tour of Austria,P. Kennaugh,https://firstcycling.com/race.php?r=38&y=2014
2014,06.07-19.07,2.HC,Tour of Qinghai Lake,I. Davidenok,https://firstcycling.com/race.php?r=127&y=2014
2014,26.07-30.07,2.HC,Tour de Wallonie,G. Meersman,https://firstcycling.com/race.php?r=193&y=2014
2014,06.08-10.08,2.HC,PostNord Tour of Denmark,M. Valgren,https://firstcycling.com/race.php?r=32&y=2014
2014,10.08,1.HC,Ride London Classic,A. Blythe,https://firstcycling.com/race.php?r=261&y=2014
2014,13.08-17.08,2.HC,Vuelta a Burgos,N. Quintana,https://firstcycling.com/race.php?r=192&y=2014
2014,18.08-24.08,2.HC,USA Challenge,T. van Garderen,https://firstcycling.com/race.php?r=90&y=2014
2014,06.09,1.HC,Brussels Classic,A. Greipel,https://firstcycling.com/race.php?r=64&y=2014
2014,07.09,1.HC,GP de Fourmies,J. van Genechten,https://firstcycling.com/race.php?r=92&y=2014
2014,07.09-14.09,2.HC,Tour of Britain,D. van Baarle,https://firstcycling.com/race.php?r=45&y=2014
2014,18.09,1.HC,Tre Valli Varesine,M. Albasini,https://firstcycling.com/race.php?r=190&y=2014
2014,01.10,1.HC,Milano - Torino,G. Caruso,https://firstcycling.com/race.php?r=89&y=2014
2014,11.10,1.HC,Giro dell'Emilia,D. Rebellin,https://firstcycling.com/race.php?r=29&y=2014
2014,12.10,1.HC,GP Bruno Beghelli,V. Conti,https://firstcycling.com/race.php?r=156&y=2014
2014,12.10,1.HC,Paris - Tours,J. Wallays,https://firstcycling.com/race.php?r=28&y=2014
2014,19.10,1.HC,Japan Cup,N. Haas,https://firstcycling.com/race.php?r=95&y=2014
2014,20.10-28.10,2.HC,Tour of Hainan,J. Antomarchi,https://firstcycling.com/race.php?r=139&y=2014
2015,04.02-07.02,2.HC,Dubai Tour,M. Cavendish,https://firstcycling.com/race.php?r=433&y=2015
2015,08.02-13.02,2.HC,Tour of Qatar,N. Terpstra,https://firstcycling.com/race.php?r=51&y=2015
2015,17.02-22.02,2.HC,Tour of Oman,R. Valls,https://firstcycling.com/race.php?r=57&y=2015
2015,19.02,1.HC,Trofeo Laigueglia,D. Cimolai,https://firstcycling.com/race.php?r=112&y=2015
2015,28.02,1.HC,Omloop Nieuwsblad,I. Stannard,https://firstcycling.com/race.php?r=53&y=2015
2015,01.03,1.HC,Gran Premio di Lugano,N. Bonifazio,https://firstcycling.com/race.php?r=120&y=2015
2015,07.03,1.HC,Strade Bianche,Z. Stybar,https://firstcycling.com/race.php?r=54&y=2015
2015,08.03-15.03,2.HC,Tour de Langkawi,Y. Reguigui,https://firstcycling.com/race.php?r=128&y=2015
2015,19.03,1.HC,GP Nobili Rubinetterie,G. Nizzolo,https://firstcycling.com/race.php?r=247&y=2015
2015,25.03,1.HC,Dwars door Vlaanderen,J. Wallays,https://firstcycling.com/race.php?r=75&y=2015
2015,28.03-29.03,2.HC,Critérium International,J. Péraud,https://firstcycling.com/race.php?r=55&y=2015
2015,31.03-02.04,2.HC,Classic Brugge-De Panne,A. Kristoff,https://firstcycling.com/race.php?r=40&y=2015
2015,08.04,1.HC,Scheldeprijs,A. Kristoff,https://firstcycling.com/race.php?r=56&y=2015
2015,15.04,1.HC,Brabantse Pijl,B. Hermans,https://firstcycling.com/race.php?r=77&y=2015
2015,21.04-24.04,2.HC,Tour of the Alps,R. Porte,https://firstcycling.com/race.php?r=62&y=2015
2015,26.04-03.05,2.HC,Tour of Türkiye,K. Durasek,https://firstcycling.com/race.php?r=152&y=2015
2015,06.05-10.05,2.HC,4 Jours de Dunkerque,I. Konovalovas,https://firstcycling.com/race.php?r=175&y=2015
2015,10.05-17.05,2.HC,Tour of California,P. Sagan,https://firstcycling.com/race.php?r=30&y=2015
2015,13.05-17.05,2.HC,Bayern Rundfahrt,A. Dowsett,https://firstcycling.com/race.php?r=39&y=2015
2015,20.05-24.05,2.HC,Tour of Norway,J. Hansen,https://firstcycling.com/race.php?r=71&y=2015
2015,27.05-31.05,2.HC,Belgium Tour,G. Van Avermaet,https://firstcycling.com/race.php?r=60&y=2015
2015,03.06-07.06,2.HC,Tour de Luxembourg,L. Gerdemann,https://firstcycling.com/race.php?r=37&y=2015
2015,11.06,1.HC,GP Kanton Aargau,A. Kristoff,https://firstcycling.com/race.php?r=199&y=2015
2015,04.07-12.07,2.HC,Tour of Austria,V. de la Parte,https://firstcycling.com/race.php?r=38&y=2015
2015,05.07-18.07,2.HC,Tour of Qinghai Lake,R. Rogina,https://firstcycling.com/race.php?r=127&y=2015
2015,25.07-29.07,2.HC,Tour de Wallonie,N. Terpstra,https://firstcycling.com/race.php?r=193&y=2015
2015,02.08,1.HC,Ride London Classic,J. Drucker,https://firstcycling.com/race.php?r=261&y=2015
2015,03.08-09.08,2.HC,Tour of Utah,J. Dombrowski,https://firstcycling.com/race.php?r=119&y=2015
2015,04.08-08.08,2.HC,Vuelta a Burgos,R. Taaramäe,https://firstcycling.com/race.php?r=192&y=2015
2015,04.08-08.08,2.HC,PostNord Tour of Denmark,C. Juul-Jensen,https://firstcycling.com/race.php?r=32&y=2015
2015,13.08-16.08,2.HC,Arctic Race of Norway,R. Taaramäe,https://firstcycling.com/race.php?r=259&y=2015
2015,17.08-23.08,2.HC,USA Challenge,R. Dennis,https://firstcycling.com/race.php?r=90&y=2015
2015,05.09,1.HC,Brussels Classic,D. Groenewegen,https://firstcycling.com/race.php?r=64&y=2015
2015,06.09,1.HC,GP de Fourmies,F. Felline,https://firstcycling.com/race.php?r=92&y=2015
2015,06.09-13.09,2.HC,Tour of Britain,E. Boasson-Hagen,https://firstcycling.com/race.php?r=45&y=2015
2015,19.09,1.HC,SUPER 8 Classic,S. De Bie,https://firstcycling.com/race.php?r=168&y=2015
2015,30.09,1.HC,Tre Valli Varesine,V. Nibali,https://firstcycling.com/race.php?r=190&y=2015
2015,01.10,1.HC,Milano - Torino,D. Rosa,https://firstcycling.com/race.php?r=89&y=2015
2015,02.10,1.HC,Gran Piemonte,J. Bakelants,https://firstcycling.com/race.php?r=61&y=2015
2015,03.10,1.HC,Münsterland Giro,T. Boonen,https://firstcycling.com/race.php?r=158&y=2015
2015,10.10,1.HC,Giro dell'Emilia,J. Bakelants,https://firstcycling.com/race.php?r=29&y=2015
2015,11.10,1.HC,GP Bruno Beghelli,S. Colbrelli,https://firstcycling.com/race.php?r=156&y=2015
2015,11.10,1.HC,Paris - Tours,M. Trentin,https://firstcycling.com/race.php?r=28&y=2015
2015,18.10,1.HC,Japan Cup,B. Mollema,https://firstcycling.com/race.php?r=95&y=2015
2015,20.10-28.10,2.HC,Tour of Hainan,S. Modolo,https://firstcycling.com/race.php?r=139&y=2015
2016,31.01,1.HC,Cadel Evans Road Race,P. Kennaugh,https://firstcycling.com/race.php?r=1172&y=2016
2016,03.02-06.02,2.HC,Dubai Tour,M. Kittel,https://firstcycling.com/race.php?r=433&y=2016
2016,08.02-12.02,2.HC,Tour of Qatar,M. Cavendish,https://firstcycling.com/race.php?r=51&y=2016
2016,14.02,1.HC,Trofeo Laigueglia,A. Fedi,https://firstcycling.com/race.php?r=112&y=2016
2016,16.02-21.02,2.HC,Tour of Oman,V. Nibali,https://firstcycling.com/race.php?r=57&y=2016
2016,24.02-02.03,2.HC,Tour de Langkawi,R. Janse van Rensburg,https://firstcycling.com/race.php?r=128&y=2016
2016,27.02,1.HC,Omloop Nieuwsblad,G. Van Avermaet,https://firstcycling.com/race.php?r=53&y=2016
2016,28.02,1.HC,Gran Premio di Lugano,S. Colbrelli,https://firstcycling.com/race.php?r=120&y=2016
2016,28.02,1.HC,Kuurne-Brussel-Kuurne,J. Stuyven,https://firstcycling.com/race.php?r=84&y=2016
2016,05.03,1.HC,Strade Bianche,F. Cancellara,https://firstcycling.com/race.php?r=54&y=2016
2016,16.03,1.HC,Nokere Koerse,T. Dupont,https://firstcycling.com/race.php?r=122&y=2016
2016,23.03,1.HC,Dwars door Vlaanderen,J. Debusschere,https://firstcycling.com/race.php?r=75&y=2016
2016,26.03-27.03,2.HC,Critérium International,T. Pinot,https://firstcycling.com/race.php?r=55&y=2016
2016,29.03-31.03,2.HC,Classic Brugge-De Panne,L. Westra,https://firstcycling.com/race.php?r=40&y=2016
2016,06.04,1.HC,Scheldeprijs,M. Kittel,https://firstcycling.com/race.php?r=56&y=2016
2016,13.04,1.HC,Brabantse Pijl,P. Vakoc,https://firstcycling.com/race.php?r=77&y=2016
2016,14.04,1.HC,GP de Denain,D. McLay,https://firstcycling.com/race.php?r=146&y=2016
2016,19.04-22.04,2.HC,Tour of the Alps,M. Landa,https://firstcycling.com/race.php?r=62&y=2016
2016,24.04-01.05,2.HC,Tour of Türkiye,J. Gonçalves,https://firstcycling.com/race.php?r=152&y=2016
2016,01.05,1.HC,Eschborn-Frankfurt,A. Kristoff,https://firstcycling.com/race.php?r=35&y=2016
2016,04.05-08.05,2.HC,4 Jours de Dunkerque,B. Coquard,https://firstcycling.com/race.php?r=175&y=2016
2016,15.05-22.05,2.HC,Tour of California,J. Alaphilippe,https://firstcycling.com/race.php?r=30&y=2016
2016,18.05-22.05,2.HC,Tour of Norway,P. Weening,https://firstcycling.com/race.php?r=71&y=2016
2016,25.05-29.05,2.HC,Belgium Tour,D. Devenyns,https://firstcycling.com/race.php?r=60&y=2016
2016,01.06-05.06,2.HC,Tour de Luxembourg,M. Lammertink,https://firstcycling.com/race.php?r=37&y=2016
2016,09.06,1.HC,GP Kanton Aargau,G. Nizzolo,https://firstcycling.com/race.php?r=199&y=2016
2016,17.07-30.07,2.HC,Tour of Qinghai Lake,S. Lagkuti,https://firstcycling.com/race.php?r=127&y=2016
2016,23.07-27.07,2.HC,Tour de Wallonie,D. Devenyns,https://firstcycling.com/race.php?r=193&y=2016
2016,27.07-31.07,2.HC,PostNord Tour of Denmark,M. Valgren,https://firstcycling.com/race.php?r=32&y=2016
2016,31.07,1.HC,Ride London Classic,T. Boonen,https://firstcycling.com/race.php?r=261&y=2016
2016,01.08-07.08,2.HC,Tour of Utah,L. Morton,https://firstcycling.com/race.php?r=119&y=2016
2016,02.08-06.08,2.HC,Vuelta a Burgos,A. Contador,https://firstcycling.com/race.php?r=192&y=2016
2016,11.08-14.08,2.HC,Arctic Race of Norway,G. Moscon,https://firstcycling.com/race.php?r=259&y=2016
2016,03.09,1.HC,Brussels Classic,T. Boonen,https://firstcycling.com/race.php?r=64&y=2016
2016,04.09,1.HC,GP de Fourmies,M. Kittel,https://firstcycling.com/race.php?r=92&y=2016
2016,04.09-11.09,2.HC,Tour of Britain,S. Cummings,https://firstcycling.com/race.php?r=45&y=2016
2016,17.09,1.HC,SUPER 8 Classic,F. Gaviria,https://firstcycling.com/race.php?r=168&y=2016
2016,24.09,1.HC,Giro dell'Emilia,E. Chaves,https://firstcycling.com/race.php?r=29&y=2016
2016,25.09,1.HC,GP Bruno Beghelli,N. Ruffoni,https://firstcycling.com/race.php?r=156&y=2016
2016,27.09,1.HC,Tre Valli Varesine,S. Colbrelli,https://firstcycling.com/race.php?r=190&y=2016
2016,28.09,1.HC,Milano - Torino,M. López,https://firstcycling.com/race.php?r=89&y=2016
2016,29.09,1.HC,Gran Piemonte,G. Nizzolo,https://firstcycling.com/race.php?r=61&y=2016
2016,03.10,1.HC,Münsterland Giro,J. Degenkolb,https://firstcycling.com/race.php?r=158&y=2016
2016,09.10,1.HC,Paris - Tours,F. Gaviria,https://firstcycling.com/race.php?r=28&y=2016
2016,20.10-23.10,2.HC,Abu Dhabi Tour,T. Kangert,https://firstcycling.com/race.php?r=3827&y=2016
2016,22.10-30.10,2.HC,Tour of Hainan,A. Lutsenko,https://firstcycling.com/race.php?r=139&y=2016
2016,23.10,1.HC,Japan Cup,D. Villella,https://firstcycling.com/race.php?r=95&y=2016
2017,31.01-04.02,2.HC,Dubai Tour,M. Kittel,https://firstcycling.com/race.php?r=433&y=2017
2017,12.02,1.HC,Trofeo Laigueglia,F. Felline,https://firstcycling.com/race.php?r=112&y=2017
2017,14.02-19.02,2.HC,Tour of Oman,B. Hermans,https://firstcycling.com/race.php?r=57&y=2017
2017,15.02-19.02,2.HC,Vuelta a Andalucía,A. Valverde,https://firstcycling.com/race.php?r=110&y=2017
2017,15.02-19.02,2.HC,Volta ao Algarve,P. Roglic,https://firstcycling.com/race.php?r=107&y=2017
2017,22.02-01.03,2.HC,Tour de Langkawi,R. Gibbons,https://firstcycling.com/race.php?r=128&y=2017
2017,26.02,1.HC,Kuurne-Brussel-Kuurne,P. Sagan,https://firstcycling.com/race.php?r=84&y=2017
2017,05.03,1.HC,GP Industria & Artigianato,A. Yates,https://firstcycling.com/race.php?r=263&y=2017
2017,15.03,1.HC,Nokere Koerse,N. Bouhanni,https://firstcycling.com/race.php?r=122&y=2017
2017,28.03-30.03,2.HC,Classic Brugge-De Panne,P. Gilbert,https://firstcycling.com/race.php?r=40&y=2017
2017,05.04,1.HC,Scheldeprijs,M. Kittel,https://firstcycling.com/race.php?r=56&y=2017
2017,12.04,1.HC,Brabantse Pijl,S. Colbrelli,https://firstcycling.com/race.php?r=77&y=2017
2017,13.04,1.HC,GP de Denain,A. Démare,https://firstcycling.com/race.php?r=146&y=2017
2017,17.04-21.04,2.HC,Tour of the Alps,G. Thomas,https://firstcycling.com/race.php?r=62&y=2017
2017,07.05,1.HC,Gran Premio di Lugano,I. Filosi,https://firstcycling.com/race.php?r=120&y=2017
2017,09.05-14.05,2.HC,4 Jours de Dunkerque,C. Venturini,https://firstcycling.com/race.php?r=175&y=2017
2017,17.05-21.05,2.HC,Tour of Norway,E. Boasson-Hagen,https://firstcycling.com/race.php?r=71&y=2017
2017,24.05-28.05,2.HC,Belgium Tour,J. Keukeleire,https://firstcycling.com/race.php?r=60&y=2017
2017,31.05-04.06,2.HC,Tour de Luxembourg,G. Van Avermaet,https://firstcycling.com/race.php?r=37&y=2017
2017,08.06,1.HC,GP Kanton Aargau,S. Modolo,https://firstcycling.com/race.php?r=199&y=2017
2017,16.07-29.07,2.HC,Tour of Qinghai Lake,Y. Monsalve,https://firstcycling.com/race.php?r=127&y=2017
2017,22.07-26.07,2.HC,Tour de Wallonie,D. Teuns,https://firstcycling.com/race.php?r=193&y=2017
2017,31.07-06.08,2.HC,Tour of Utah,R. Britton,https://firstcycling.com/race.php?r=119&y=2017
2017,01.08-05.08,2.HC,Vuelta a Burgos,M. Landa,https://firstcycling.com/race.php?r=192&y=2017
2017,10.08-13.08,2.HC,Arctic Race of Norway,D. Teuns,https://firstcycling.com/race.php?r=259&y=2017
2017,10.08-13.08,2.HC,Colorado Classic,M. Senni,https://firstcycling.com/race.php?r=7019&y=2017
2017,02.09,1.HC,Brussels Classic,A. Démare,https://firstcycling.com/race.php?r=64&y=2017
2017,03.09-10.09,2.HC,Tour of Britain,L. Boom,https://firstcycling.com/race.php?r=45&y=2017
2017,03.09,1.HC,GP de Fourmies,N. Bouhanni,https://firstcycling.com/race.php?r=92&y=2017
2017,12.09-16.09,2.HC,PostNord Tour of Denmark,M. Pedersen,https://firstcycling.com/race.php?r=32&y=2017
2017,16.09,1.HC,SUPER 8 Classic,M. Trentin,https://firstcycling.com/race.php?r=168&y=2017
2017,30.09,1.HC,Giro dell'Emilia,G. Visconti,https://firstcycling.com/race.php?r=29&y=2017
2017,01.10,1.HC,GP Bruno Beghelli,L. Sánchez,https://firstcycling.com/race.php?r=156&y=2017
2017,01.10,1.HC,Circuit Franco-Belge,D. McLay,https://firstcycling.com/race.php?r=231&y=2017
2017,03.10,1.HC,Münsterland Giro,S. Bennett,https://firstcycling.com/race.php?r=158&y=2017
2017,03.10,1.HC,Tre Valli Varesine,A. Geniez,https://firstcycling.com/race.php?r=190&y=2017
2017,05.10,1.HC,Milano - Torino,R. Uran,https://firstcycling.com/race.php?r=89&y=2017
2017,08.10,1.HC,Paris - Tours,M. Trentin,https://firstcycling.com/race.php?r=28&y=2017
2017,22.10,1.HC,Japan Cup,M. Canola,https://firstcycling.com/race.php?r=95&y=2017
2017,28.10-05.11,2.HC,Tour of Hainan,J. Mosca,https://firstcycling.com/race.php?r=139&y=2017
2018,06.02-10.02,2.HC,Dubai Tour,E. Viviani,https://firstcycling.com/race.php?r=433&y=2018
2018,11.02,1.HC,Clasica de Almeria,C. Ewan,https://firstcycling.com/race.php?r=129&y=2018
2018,11.02,1.HC,Trofeo Laigueglia,M. Moser,https://firstcycling.com/race.php?r=112&y=2018
2018,13.02-18.02,2.HC,Tour of Oman,A. Lutsenko,https://firstcycling.com/race.php?r=57&y=2018
2018,14.02-18.02,2.HC,Vuelta a Andalucía,T. Wellens,https://firstcycling.com/race.php?r=110&y=2018
2018,14.02-18.02,2.HC,Volta ao Algarve,M. Kwiatkowski,https://firstcycling.com/race.php?r=107&y=2018
2018,25.02,1.HC,Kuurne-Brussel-Kuurne,D. Groenewegen,https://firstcycling.com/race.php?r=84&y=2018
2018,04.03,1.HC,GP Industria & Artigianato,M. Mohoric,https://firstcycling.com/race.php?r=263&y=2018
2018,11.03,1.HC,Ronde van Drenthe,F. Sisr,https://firstcycling.com/race.php?r=131&y=2018
2018,14.03,1.HC,Nokere Koerse,F. Jakobsen,https://firstcycling.com/race.php?r=122&y=2018
2018,16.03,1.HC,Bredene Koksijde Classic,A. Hodeg,https://firstcycling.com/race.php?r=123&y=2018
2018,18.03-25.03,2.HC,Tour de Langkawi,A. Ovechkin,https://firstcycling.com/race.php?r=128&y=2018
2018,18.03,1.HC,GP de Denain,K. Dehaes,https://firstcycling.com/race.php?r=146&y=2018
2018,21.03,1.HC,Classic Brugge-De Panne,E. Viviani,https://firstcycling.com/race.php?r=40&y=2018
2018,04.04,1.HC,Scheldeprijs,F. Jakobsen,https://firstcycling.com/race.php?r=56&y=2018
2018,11.04,1.HC,Brabantse Pijl,T. Wellens,https://firstcycling.com/race.php?r=77&y=2018
2018,16.04-20.04,2.HC,Tour of the Alps,T. Pinot,https://firstcycling.com/race.php?r=62&y=2018
2018,17.04-22.04,2.HC,CRO Race,K. Sivtsov,https://firstcycling.com/race.php?r=773&y=2018
2018,08.05-13.05,2.HC,4 Jours de Dunkerque,D. Claeys,https://firstcycling.com/race.php?r=175&y=2018
2018,16.05-20.05,2.HC,Tour of Norway,E. Prades,https://firstcycling.com/race.php?r=71&y=2018
2018,22.05-24.05,2.HC,Tour des Fjords,M. Albasini,https://firstcycling.com/race.php?r=70&y=2018
2018,23.05-27.05,2.HC,Belgium Tour,J. Keukeleire,https://firstcycling.com/race.php?r=60&y=2018
2018,30.05-03.06,2.HC,Tour de Luxembourg,A. Pasqualon,https://firstcycling.com/race.php?r=37&y=2018
2018,07.06,1.HC,GP Kanton Aargau,A. Kristoff,https://firstcycling.com/race.php?r=199&y=2018
2018,22.07-04.08,2.HC,Tour of Qinghai Lake,H. Aguirre,https://firstcycling.com/race.php?r=127&y=2018
2018,28.07-01.08,2.HC,Tour de Wallonie,T. Wellens,https://firstcycling.com/race.php?r=193&y=2018
2018,01.08-05.08,2.HC,PostNord Tour of Denmark,W. van Aert,https://firstcycling.com/race.php?r=32&y=2018
2018,06.08-12.08,2.HC,Tour of Utah,S. Kuss,https://firstcycling.com/race.php?r=119&y=2018
2018,07.08-11.08,2.HC,Vuelta a Burgos,I. Sosa,https://firstcycling.com/race.php?r=192&y=2018
2018,16.08-19.08,2.HC,Arctic Race of Norway,S. Chernetskiy,https://firstcycling.com/race.php?r=259&y=2018
2018,16.08-19.08,2.HC,Colorado Classic,G. Mannion,https://firstcycling.com/race.php?r=7019&y=2018
2018,01.09,1.HC,Brussels Classic,P. Ackermann,https://firstcycling.com/race.php?r=64&y=2018
2018,02.09,1.HC,GP de Fourmies,P. Ackermann,https://firstcycling.com/race.php?r=92&y=2018
2018,02.09-09.09,2.HC,Tour of Britain,J. Alaphilippe,https://firstcycling.com/race.php?r=45&y=2018
2018,15.09,1.HC,SUPER 8 Classic,T. van der Hoorn,https://firstcycling.com/race.php?r=168&y=2018
2018,22.09,1.HC,Circuit Franco-Belge,M. Pedersen,https://firstcycling.com/race.php?r=231&y=2018
2018,03.10,1.HC,Münsterland Giro,M. Walscheid,https://firstcycling.com/race.php?r=158&y=2018
2018,06.10,1.HC,Giro dell'Emilia,A. De Marchi,https://firstcycling.com/race.php?r=29&y=2018
2018,07.10,1.HC,GP Bruno Beghelli,B. Mollema,https://firstcycling.com/race.php?r=156&y=2018
2018,07.10,1.HC,Paris - Tours,S. Kragh Andersen,https://firstcycling.com/race.php?r=28&y=2018
2018,09.10,1.HC,Tre Valli Varesine,T. Skujins,https://firstcycling.com/race.php?r=190&y=2018
2018,10.10,1.HC,Milano - Torino,T. Pinot,https://firstcycling.com/race.php?r=89&y=2018
