index,Pos,Rider,Born,Nation,Team,Points,rider_id,Year
11203,432,Roy  Jérémy,1983,France,Française des Jeux,226,106,2005
11205,434,Pate  Danny,1979,USA,Jelly Belly-Pool Gel,225,50,2005
11206,434,Burghardt  Marcus,1983,Germany,T-Mobile Team,225,92,2005
11212,438,Lund  Anders,1985,Denmark,Team GLS,223,720,2005
11226,455,Muravyev  Dmitriy,1979,Kazakhstan,Crédit Agricole,211,90,2005
11250,479,Arroyo  David,1980,Spain,Illes Balears - Caisse d'Epargne,202,109,2005
11272,501,Bozic  Borut,1980,Slovenia,Perutnina Ptuj,193,387,2005
11282,510,Charteau  Anthony,1979,France,Bouygues Telecom,189,677,2005
11283,512,Delage  Mickaël,1985,France,Française des Jeux,188,155,2005
11287,516,Wynants  Maarten,1982,Belgium,Chocolade Jacques - T-Interim,186,367,2005
11317,545,López  David,1981,Spain,Euskaltel-Euskadi,174,336,2005
11368,597,Clement  Stef,1982,Netherlands,Rabobank CT,157,81,2005
11369,598,Martinez  Egoi,1978,Spain,Euskaltel-Euskadi,156,57,2005
11376,605,Dupont  Hubert,1980,France,R.A.G.T. Semences,154,186,2005
11397,626,Kiryienka  Vasil,1981,Belarus,,148,402,2005
11416,645,Di Gregorio  Rémy,1985,France,Française des Jeux,145,105,2005
11433,662,Cobo  Juan José,1981,Spain,Saunier Duval - Prodir,140,288,2005
11435,662,Noval  Benjamin,1979,Spain,Discovery Channel,140,734,2005
11438,667,Vandborg  Brian,1981,Denmark,Team CSC,139,135,2005
11479,708,Willems  Frederik,1979,Belgium,Chocolade Jacques - T-Interim,131,137,2005
11525,754,Rojas  José Joaquin,1985,Spain,Liberty Seguros - Würth Team,118,116,2005
11565,794,Leezer  Tom,1985,Netherlands,Rabobank CT,109,368,2005
11576,804,Langeveld  Sebastian,1985,Netherlands,Van Vliet - EBH Advocaten,107,312,2005
11581,807,Keisse  Iljo,1982,Belgium,Chocolade Jacques - T-Interim,106,1298,2005
11585,814,Horrach  Joan,1974,Spain,Illes Balears - Caisse d'Epargne,105,74,2005
11649,877,Tjallingii  Maarten,1977,Netherlands,Marco Polo Cycling Team,94,601,2005
11654,883,Kreuziger  Roman,1986,Czech Republic,,93,36,2005
11695,923,Urtasun  Pablo,1980,Spain,Kaiku,87,869,2005
11718,944,Engels  Addy,1977,Netherlands,Quick Step,83,753,2005
11743,971,Longo Borghini  Paolo,1980,Italy,Team Barloworld - Valsir,80,566,2005
11744,971,Velits  Martin,1985,Slovakia,Team Konica Minolta,80,703,2005
11760,989,Sabatini  Fabio,1985,Italy,,77,122,2005
11784,1013,Richeze  Maximiliano,1983,Argentina,,74,624,2005
11787,1013,Cavendish  Mark,1985,Great Britain,Team Sparkasse,74,14,2005
11788,1013,Gesink  Robert,1986,Netherlands,Team Löwik Meubelen,74,41,2005
11838,1066,Ignatiev  Mikhail,1985,Russia,Lokomotiv,68,71,2005
11849,1078,Ciolek  Gerald,1986,Germany,Akud Arnolds Sicherheit,67,20,2005
11869,1096,Pérez Moreno  Rubén,1981,Spain,Orbea,65,59,2005
11874,1096,Pérez Moreno  Rubén,1981,Spain,Orbea,65,59,2005
11878,1105,Losada  Alberto,1982,Spain,Caja Rural,64,749,2005
11888,1116,Cummings  Steve,1981,Great Britain,Landbouwkrediet - Colnago,62,271,2005
11916,1143,Hivert  Jonathan,1985,France,UC Chateauroux - Fenioux,59,169,2005
11963,1192,Wyss  Marcel,1986,Switzerland,,54,894,2005
12060,1280,Gatto  Oscar,1985,Italy,Zalf Desiree Fior,48,1973,2005
12081,1310,Serpa  José,1979,Colombia,,46,463,2005
12095,1323,Paulinho  Sergio,1980,Portugal,Liberty Seguros - Würth Team,45,88,2005
12141,1364,Verdugo  Gorka,1978,Spain,Euskaltel-Euskadi,42,61,2005
12246,1469,Galland  Jérémie,1983,France,Cofidis,36,959,2005
12260,1488,Gruzdev  Dmitriy,1986,Kazakhstan,,35,5836,2005
12273,1488,Gruzdev  Dmitriy,1986,Kazakhstan,,35,5836,2005
12285,1507,Schär  Michael,1986,Switzerland,GS Hadimec - Rocky Mountain - VC Chiasso,34,327,2005
12287,1507,Gène  Yohann,1981,France,Bouygues Telecom,34,904,2005
12389,1610,Nordhaug  Lars Petter,1984,Norway,Team Maxbo - Bianchi,29,408,2005
12412,1631,Arashiro  Yukiya,1984,Japan,GSC Blagnac,28,163,2005
12414,1631,Ruijgh  Rob,1986,Netherlands,Amuzza.com - Davo,28,936,2005
12436,1665,Goss  Matthew,1986,Australia,,27,512,2005
12478,1707,Fuglsang  Jakob,1985,Denmark,,25,264,2005
12560,1774,Oroz  Juan José,1980,Spain,Caja Rural,23,62,2005
12574,1774,Oroz  Juan José,1980,Spain,Caja Rural,23,62,2005
12632,1838,Machado  Tiago,1985,Portugal,Carvalhelhos - Boavista,21,708,2005
12714,1919,El Fares  Julien,1985,France,La Pomme Marseille,19,345,2005
12736,1964,Herrada  Jose,1985,Spain,,18,1323,2005
12780,2009,Marczynski  Tomasz,1984,Poland,,17,2281,2005
12798,2009,Geschke  Simon,1986,Germany,KED Bianchi Team Berlin,17,168,2005
12802,2009,Quemeneur  Perrig,1984,France,Vendee U - Pays de la Loire,17,906,2005
12822,2050,Zeits  Andrey,1986,Kazakhstan,,16,737,2005
12852,2050,Gavazzi  Francesco,1984,Italy,S.C Egidio - Unidelta,16,580,2005
13028,2224,Bodnar  Maciej,1985,Poland,Team Moser - AH - Trentino,13,361,2005
13123,2351,Wyss  Danilo,1985,Switzerland,,11,912,2005
13172,2351,Wyss  Danilo,1985,Switzerland,,11,912,2005
13205,2429,Canuti  Federico,1985,Italy,,10,1859,2005
13206,2429,Moreno  Javier,1984,Spain,,10,2118,2005
13272,2429,Canuti  Federico,1985,Italy,,10,1859,2005
13518,2692,Van Emden  Jos,1985,Netherlands,Cycling Team Bert Story - Piels,7,729,2005
14222,3454,Kochetkov  Pavel,1986,Russia,,2,2320,2005
14273,3454,Kochetkov  Pavel,1986,Russia,,2,2320,2005
14449,3454,Guillou  Florian,1982,France,Súper Sport 35 - ACNC,2,3132,2005
14572,3738,Mendes  Jose,1985,Portugal,,1,992,2005
14930,6,Hushovd  Thor,1978,Norway,Crédit Agricole,2200,118,2006
14932,8,Cunego  Damiano,1981,Italy,Lampre-Fondital,1875,149,2006
14939,15,O'Grady  Stuart,1973,Australia,Team CSC,1476,15,2006
