index,Pos,Rider,Born,Nation,Team,Points,rider_id,Year
35315,1979,Longo Borghini  Paolo,1980,Italy,ISD - Neri,19,566,2010
35328,1979,Gruzdev  Dmitriy,1986,Kazakhstan,,19,5836,2010
35329,1979,Howes  Alex,1988,USA,,19,7566,2010
35334,1979,Longo Borghini  Paolo,1980,Italy,ISD - Neri,19,566,2010
35379,2020,Zandio  Xabier,1977,Spain,Caisse d'Epargne,18,113,2010
35421,2080,De La Parte  Victor,1986,Spain,Caja Rural amateur,17,5395,2010
35595,2234,Kochetkov  Pavel,1986,Russia,Zeroquadro - Radenska,14,2320,2010
35619,2234,Vuillermoz  Alexis,1988,France,C.C. Etupes,14,14716,2010
35624,2234,Brun Jr.  Frederic,1988,France,Team Vulco - VC Vaulx-en-Velin,14,20148,2010
35688,2306,Brown  Nathan,1991,USA,Trek - Livestrong,13,3354,2010
35867,2494,Declercq  Tim,1989,Belgium,Jong Vlaandern - Bauckneckt,11,1970,2010
36061,2677,Breen  Vegard,1990,Norway,Joker - Bianchi,9,774,2010
36071,2677,Haller  Marco,1991,Austria,Tyrol Team,9,6246,2010
36314,2890,Domont  Axel,1990,France,Chambery Cyclisme Formation,7,10946,2010
37030,3560,Duchesne  Antoine,1991,Canada,,3,6260,2010
37329,3812,Bilbao  Pello,1990,Spain,,2,4863,2010
37703,4153,Engels  Addy,1977,Netherlands,Quick Step,1,753,2010
37983,4153,Willems  Frederik,1979,Belgium,Liquigas-Doimo,1,137,2010
38008,4,Rodríguez  Joaquim,1979,Spain,Katusha Team,2542,246,2011
38009,5,Scarponi  Michele,1979,Italy,Lampre-ISD,2008,27,2011
38013,9,Sagan  Peter,1990,Slovakia,Liquigas-Cannondale,1889,784,2011
38014,10,Rojas  José Joaquin,1985,Spain,Movistar Team,1853,116,2011
38019,15,Wiggins  Bradley,1980,Great Britain,Sky ProCycling,1643,47,2011
38021,17,Cavendish  Mark,1985,Great Britain,Team HTC - Highroad,1591,14,2011
38022,18,Cunego  Damiano,1981,Italy,Lampre-ISD,1589,149,2011
38024,20,Cancellara  Fabian,1981,Switzerland,Leopard-Trek,1557,12,2011
38026,22,Visconti  Giovanni,1983,Italy,Farnese Vini - Neri Sottoli,1442,486,2011
38030,26,Cobo  Juan José,1981,Spain,Geox-TMC,1318,288,2011
38033,29,Moreno  Daniel,1981,Spain,Katusha Team,1304,335,2011
38037,33,Goss  Matthew,1986,Australia,Team HTC - Highroad,1177,512,2011
38039,35,Gesink  Robert,1986,Netherlands,Rabobank,1151,41,2011
38042,38,Péraud  Jean-Christophe,1977,France,AG2R La Mondiale,1127,1151,2011
38048,44,Poels  Wout,1987,Netherlands,Vacansoleil - DCM,1050,929,2011
38051,47,Fuglsang  Jakob,1985,Denmark,Leopard-Trek,1025,264,2011
38053,49,Degenkolb  John,1989,Germany,Team HTC - Highroad,1004,1013,2011
38058,54,Hushovd  Thor,1978,Norway,Garmin-Cervélo,939,118,2011
38061,57,Kreuziger  Roman,1986,Czech Republic,Astana,910,36,2011
38064,60,Millar  David,1977,Great Britain,Garmin-Cervélo,878,43,2011
38067,63,Serpa  José,1979,Colombia,Androni Giocattoli - CIPI,865,463,2011
38073,69,Bozic  Borut,1980,Slovenia,Vacansoleil - DCM,818,387,2011
38074,70,Coppel  Jérôme,1986,France,Saur - Sojasun,817,99,2011
38075,71,Brajkovic  Janez,1983,Slovenia,RadioShack,811,252,2011
38076,72,Machado  Tiago,1985,Portugal,RadioShack,808,708,2011
38082,78,Horner  Chris,1971,USA,RadioShack,768,323,2011
38083,79,Chavanel  Sylvain,1979,France,Quick Step,760,167,2011
38084,80,Moncoutié  David,1975,France,Cofidis,758,63,2011
38085,80,Kiryienka  Vasil,1981,Belarus,Movistar Team,758,402,2011
38090,86,Nieve  Mikel,1984,Spain,Euskaltel-Euskadi,746,868,2011
38095,91,Kruijswijk  Steven,1987,Netherlands,Rabobank,726,730,2011
38096,92,Costa  Rui,1986,Portugal,Movistar Team,723,114,2011
38100,96,Gerrans  Simon,1980,Australia,Sky ProCycling,698,339,2011
38109,105,Haussler  Heinrich,1984,Australia,Garmin-Cervélo,656,120,2011
38123,119,Gatto  Oscar,1985,Italy,Farnese Vini - Neri Sottoli,617,1973,2011
38124,120,Gavazzi  Francesco,1984,Italy,Lampre-ISD,611,580,2011
38134,130,López  David,1981,Spain,Movistar Team,579,336,2011
38138,134,Geniez  Alexandre,1988,France,Skil - Shimano,563,948,2011
38140,136,Langeveld  Sebastian,1985,Netherlands,Rabobank,560,312,2011
38143,139,Ciolek  Gerald,1986,Germany,Quick Step,555,20,2011
38149,145,Cummings  Steve,1981,Great Britain,Sky ProCycling,538,271,2011
38152,148,Renshaw  Mark,1982,Australia,Team HTC - Highroad,523,97,2011
38155,150,Simon  Julien,1985,France,Saur - Sojasun,521,964,2011
38156,152,Ten Dam  Laurens,1980,Netherlands,Rabobank,520,80,2011
38157,152,Ruijgh  Rob,1986,Netherlands,Vacansoleil - DCM,520,936,2011
38159,155,Brutt  Pavel,1982,Russia,Katusha Team,518,557,2011
38160,155,Swift  Ben,1987,Great Britain,Sky ProCycling,518,828,2011
38162,158,Cataldo  Dario,1985,Italy,Quick Step,516,532,2011
38163,159,Zubeldia  Haimar,1977,Spain,RadioShack,512,87,2011
38165,161,Dupont  Hubert,1980,France,AG2R La Mondiale,506,186,2011
38171,167,Dowsett  Alex,1988,Great Britain,Sky ProCycling,488,1009,2011
38179,174,Kwiatkowski  Michal,1990,Poland,RadioShack,475,2961,2011
38183,179,Cooke  Baden,1978,Australia,Saxo Bank - SunGard,470,388,2011
38186,182,Galland  Jérémie,1983,France,Saur - Sojasun,467,959,2011
38192,188,Hivert  Jonathan,1985,France,Saur - Sojasun,455,169,2011
38193,189,Vichot  Arthur,1988,France,FDJ,454,861,2011
38195,191,Gusev  Vladimir,1982,Russia,Katusha Team,438,482,2011
38198,194,El Fares  Julien,1985,France,Cofidis,434,345,2011
38208,204,Caruso  Damiano,1987,Italy,Liquigas-Cannondale,408,1006,2011
38210,206,Felline  Fabio,1990,Italy,Geox-TMC,405,1580,2011
38212,207,Moreno  Javier,1984,Spain,Caja Rural,404,2118,2011
38214,209,Janse van Rensburg  Reinardt,1989,South Africa,MTN-Qhubeka,402,6559,2011
38215,211,Arroyo  David,1980,Spain,Movistar Team,394,109,2011
38219,215,O'Grady  Stuart,1973,Australia,Leopard-Trek,390,15,2011
38225,221,Sørensen  Nicki,1975,Denmark,Saxo Bank - SunGard,387,16,2011
38239,235,Delage  Mickaël,1985,France,FDJ,372,155,2011
38240,236,Hincapie  George,1973,USA,BMC Racing Team,370,10,2011
38241,236,Pineau  Jérôme,1980,France,Quick Step,370,182,2011
38251,247,Betancur  Carlos,1989,Colombia,Acqua e Sapone,353,1001,2011
38254,250,Tiralongo  Paolo,1977,Italy,Astana,348,359,2011
38255,251,Sutherland  Rory,1982,Australia,UnitedHealthcare Pro Cycling,347,1206,2011
38262,258,Delaplace  Anthony,1989,France,Saur - Sojasun,339,965,2011
38268,264,Arashiro  Yukiya,1984,Japan,Team Europcar,331,163,2011
38269,264,Weening  Pieter,1981,Netherlands,Rabobank,331,300,2011
38272,267,Tjallingii  Maarten,1977,Netherlands,Rabobank,328,601,2011
38280,275,Canuti  Federico,1985,Italy,Colnago - CSF Inox,321,1859,2011
38286,282,Turgot  Sébastien,1984,France,Team Europcar,316,522,2011
38287,282,Démare  Arnaud,1991,France,C.C. Nogent sur Oise,316,2337,2011
38289,285,Van Emden  Jos,1985,Netherlands,Rabobank,313,729,2011
38290,285,Herrada  Jose,1985,Spain,Caja Rural,313,1323,2011
38297,293,Castroviejo  Jonathan,1987,Spain,Euskaltel-Euskadi,307,871,2011
38314,310,Roy  Jérémy,1983,France,FDJ,288,106,2011
38315,310,Montaguti  Matteo,1984,Italy,AG2R La Mondiale,288,2145,2011
38318,314,Fröhlinger  Johannes,1985,Germany,Skil - Shimano,286,32,2011
38319,314,Eisel  Bernhard,1981,Austria,Team HTC - Highroad,286,93,2011
38320,314,Charteau  Anthony,1979,France,Team Europcar,286,677,2011
38322,318,Mori  Manuele,1980,Italy,Lampre-ISD,282,492,2011
38323,318,Stetina  Peter,1987,USA,Garmin-Cervélo,282,771,2011
38330,326,Fischer  Murilo,1979,Brazil,Garmin-Cervélo,275,130,2011
38332,327,Bardet  Romain,1990,France,Chambery Cyclisme Formation,274,2275,2011
38340,336,Cattaneo  Mattia,1990,Italy,U.C. Trevigiani - Dynamon - Bottoli,267,6227,2011
38343,338,Brambilla  Gianluca,1987,Italy,Colnago - CSF Inox,264,2741,2011
38344,338,Mezgec  Luka,1988,Slovenia,Sava,264,9234,2011
38347,341,Navardauskas  Ramunas,1988,Lithuania,Garmin-Cervélo,262,1709,2011
38353,349,Wallays  Jelle,1989,Belgium,Topsport Vlaanderen - Mercator,259,1276,2011
38363,359,Hondo  Danilo,1974,Germany,Lampre-ISD,251,282,2011
38364,359,Wynants  Maarten,1982,Belgium,Rabobank,251,367,2011
38370,366,Geschke  Simon,1986,Germany,Skil - Shimano,247,168,2011
38372,366,Garcia  Egoitz,1986,Spain,Caja Rural,247,3928,2011
38386,382,Paterski  Maciej,1986,Poland,Liquigas-Cannondale,239,783,2011
38392,388,Vachon  Florian,1985,France,Bretagne - Schuller,234,1016,2011
38396,392,Zeits  Andrey,1986,Kazakhstan,Astana,232,737,2011
38400,396,Barta  Jan,1984,Czech Republic,Team NetApp,228,990,2011
38402,398,Verdugo  Gorka,1978,Spain,Euskaltel-Euskadi,227,61,2011
38423,419,Di Gregorio  Rémy,1985,France,Astana,216,105,2011
38425,421,Richeze  Maximiliano,1983,Argentina,D'Angelo & Antenucci - Nippo,214,624,2011
38429,425,Nordhaug  Lars Petter,1984,Norway,Sky ProCycling,212,408,2011
38436,431,Bilbao  Pello,1990,Spain,Orbea Continental,209,4863,2011
38463,459,Grivko  Andriy,1983,Ukraine,Astana,197,494,2011
38468,464,Meier  Christian,1985,Canada,UnitedHealthcare Pro Cycling,195,355,2011
38471,467,Muravyev  Dmitriy,1979,Kazakhstan,RadioShack,192,90,2011
38485,478,Guillou  Florian,1982,France,Bretagne - Schuller,186,3132,2011
38488,484,Pérez Moreno  Rubén,1981,Spain,Euskaltel-Euskadi,184,59,2011
38492,487,Zingle  Romain,1987,Belgium,Cofidis,181,922,2011
38498,494,Koren  Kristjan,1986,Slovenia,Liquigas-Cannondale,179,782,2011
38506,501,Clement  Stef,1982,Netherlands,Rabobank,174,81,2011
38518,513,Lindeman  Bert-Jan,1989,Netherlands,Cyclingteam Jo Piels,168,4001,2011
38528,522,Wyss  Marcel,1986,Switzerland,Geox-TMC,164,894,2011
38534,529,van Poppel  Boy,1988,Netherlands,UnitedHealthcare Pro Cycling,163,3187,2011
38535,531,Laengen  Vegard Stake,1989,Norway,Joker Merida,162,407,2011
38536,531,Quemeneur  Perrig,1984,France,Team Europcar,162,906,2011
38549,544,Atapuma  Darwin,1988,Colombia,Colombia es Pasion-Cafe de Colombia,158,2280,2011
38551,544,Gruzdev  Dmitriy,1986,Kazakhstan,Astana,158,5836,2011
38552,544,Preidler  Georg,1990,Austria,Tyrol Team,158,6244,2011
38555,550,Durbridge  Luke,1991,Australia,Team Jayco-AIS,157,2327,2011
38563,559,Zabriskie  David,1979,USA,Garmin-Cervélo,155,48,2011
38564,559,Sinkeldam  Ramon,1989,Netherlands,Rabobank CT,155,4589,2011
38567,561,Veilleux  David,1987,Canada,Team Europcar,154,1012,2011
38589,584,Domont  Axel,1990,France,Chambery Cyclisme Formation,144,10946,2011
38613,609,Posthuma  Joost,1981,Netherlands,Leopard-Trek,137,79,2011
38622,615,Hepburn  Michael,1991,Australia,Team Jayco-AIS,136,2978,2011
38624,620,Sabatini  Fabio,1985,Italy,Liquigas-Cannondale,135,122,2011
38627,623,Colbrelli  Sonny,1990,Italy,Zalf Desiree Fior,134,2338,2011
38644,636,Marczynski  Tomasz,1984,Poland,CCC Polsat Polkowice,131,2281,2011
38661,655,Marangoni  Alan,1984,Italy,Liquigas-Cannondale,126,1861,2011
38699,694,Malacarne  Davide,1987,Italy,Quick Step,119,759,2011
38717,711,Smukulis  Gatis,1987,Latvia,Team HTC - Highroad,114,849,2011
38740,734,Kangert  Tanel,1987,Estonia,Astana,111,1018,2011
38752,743,Dempster  Zakkari,1987,Australia,Rapha Condor - Sharp,110,2396,2011
38762,755,Oliveira  Nelson,1989,Portugal,RadioShack,108,1008,2011
38781,777,Losada  Alberto,1982,Spain,Katusha Team,104,749,2011
38789,784,Schär  Michael,1986,Switzerland,BMC Racing Team,102,327,2011
38803,798,Juul-Jensen  Christopher,1989,Denmark,Glud & Marstrand - LRØ,100,1715,2011
38806,798,Juul-Jensen  Christopher,1989,Denmark,Glud & Marstrand - LRØ,100,1715,2011
38839,833,Kochetkov  Pavel,1986,Russia,Itera - Katusha,94,2320,2011
38841,837,Popovych  Yaroslav,1980,Ukraine,RadioShack,93,5,2011
38844,837,Majka  Rafal,1989,Poland,Saxo Bank - SunGard,93,3991,2011
38848,843,Ignatiev  Mikhail,1985,Russia,Katusha Team,92,71,2011
38855,846,Benedetti  Cesare,1987,Poland,Team NetApp,91,3224,2011
38871,866,Leezer  Tom,1985,Netherlands,Rabobank,88,368,2011
38902,893,De Marchi  Alessandro,1986,Italy,Androni Giocattoli - CIPI,83,3103,2011
38908,893,De Marchi  Alessandro,1986,Italy,Androni Giocattoli - CIPI,83,3103,2011
38913,906,Velits  Martin,1985,Slovakia,Team HTC - Highroad,82,703,2011
38925,917,Jungels  Bob,1992,Luxembourg,UC Dippach,81,6413,2011
38940,932,Gène  Yohann,1981,France,Team Europcar,79,904,2011
38951,944,Cantwell  Jonathan,1982,Australia,V Australia,78,1912,2011
38962,958,Burghardt  Marcus,1983,Germany,BMC Racing Team,76,92,2011
38976,962,McCarthy  Jay,1992,Australia,Team Jayco-AIS,75,4778,2011
38982,977,Szmyd  Sylwester,1978,Poland,Liquigas-Cannondale,74,360,2011
38985,977,Verona  Carlos,1992,Spain,Burgos 2016 - Castilla y Leon,74,7781,2011
38997,993,Grmay  Tsgabu,1991,Ethiopia,,72,6255,2011
39005,993,Grmay  Tsgabu,1991,Ethiopia,,72,6255,2011
39015,1006,Bodnar  Maciej,1985,Poland,Liquigas-Cannondale,70,361,2011
39017,1006,Wyss  Danilo,1985,Switzerland,BMC Racing Team,70,912,2011
39021,1006,Haller  Marco,1991,Austria,Adria Mobil,70,6246,2011
39049,1034,Périchon  Pierre-Luc,1987,France,SCO Dijon,68,9154,2011
39068,1062,Paulinho  Sergio,1980,Portugal,RadioShack,66,88,2011
39081,1071,Pantano  Jarlinson,1988,Colombia,Colombia es Pasion-Cafe de Colombia,65,1294,2011
39083,1071,Dillier  Silvan,1990,Switzerland,Team Vorarlberg,65,3303,2011
39092,1084,Lund  Anders,1985,Denmark,Leopard-Trek,64,720,2011
39116,1104,Howes  Alex,1988,USA,Chipotle Development Team,62,7566,2011
39210,1206,Oroz  Juan José,1980,Spain,Euskaltel-Euskadi,54,62,2011
39211,1206,Coyot  Arnaud,1980,France,Saur - Sojasun,54,115,2011
39218,1213,Pate  Danny,1979,USA,Team HTC - Highroad,53,50,2011
39239,1224,Molard  Rudy,1989,France,C.C. Etupes,52,6222,2011
39240,1224,Tulik  Angelo,1990,France,Vendee U,52,6515,2011
39263,1251,Urtasun  Pablo,1980,Spain,Euskaltel-Euskadi,50,869,2011
39265,1251,Boivin  Guillaume,1989,Canada,Team Spidertech p/b C10,50,1937,2011
39296,1282,Craddock  Lawson,1992,USA,Trek - Livestrong,48,3355,2011
39344,1335,De La Parte  Victor,1986,Spain,Caja Rural,45,5395,2011
39406,1402,Zakarin  Ilnur,1989,Russia,,41,9128,2011
39572,1559,Brändle  Matthias,1989,Austria,Geox-TMC,34,875,2011
39591,1579,Vandborg  Brian,1981,Denmark,Saxo Bank - SunGard,33,135,2011
39607,1579,Vandborg  Brian,1981,Denmark,Saxo Bank - SunGard,33,135,2011
39611,1607,Declercq  Tim,1989,Belgium,,32,1970,2011
39613,1607,Goncalves  Jose,1989,Portugal,,32,6536,2011
39654,1650,Stuyven  Jasper,1992,Belgium,,30,5059,2011
39687,1678,Lancaster  Brett,1979,Australia,Garmin-Cervélo,29,128,2011
39691,1678,Brown  Nathan,1991,USA,Trek - Livestrong,29,3354,2011
39694,1678,Vakoc  Petr,1992,Czech Republic,ASC Dukla Praha,29,6266,2011
39703,1678,McLay  Daniel,1992,Great Britain,Omega Pharma - Lotto Davo,29,16154,2011
39705,1678,Vakoc  Petr,1992,Czech Republic,ASC Dukla Praha,29,6266,2011
39719,1703,Reza  Kevin,1988,France,Team Europcar,28,2995,2011
39749,1731,Bystrøm  Sven Erik,1992,Norway,Team Østerhus-Ridley,27,4953,2011
39780,1755,Haga  Chad,1988,USA,Kelly Benefit Strategies - Optum He,26,9322,2011
39797,1780,Owsian  Lukasz,1990,Poland,MG K-Vis Norda Whistle,25,7771,2011
39837,1815,Engels  Addy,1977,Netherlands,Quick Step,24,753,2011
39913,1885,Kroon  Karsten,1976,Netherlands,BMC Racing Team,22,248,2011
39949,1925,Martinez  Egoi,1978,Spain,Euskaltel-Euskadi,21,57,2011
39952,1925,Keisse  Iljo,1982,Belgium,Quick Step,21,1298,2011
39969,1925,Coquard  Bryan,1992,France,Vendee U,21,16752,2011
39989,1967,Slagter  Tom-Jelte,1989,Netherlands,Rabobank,20,1714,2011
40028,2000,Zandio  Xabier,1977,Spain,Sky ProCycling,19,113,2011
40092,2087,Sepulveda  Eduardo,1991,Argentina,,17,9451,2011
40107,2087,Sepulveda  Eduardo,1991,Argentina,,17,9451,2011
40141,2087,Duchesne  Antoine,1991,Canada,Louis Garneau - Club Chaussures - Norton Rose,17,6260,2011
40379,2331,Thwaites  Scott,1990,Great Britain,Endura Racing,13,3299,2011
40383,2331,Valgren  Michael,1992,Denmark,Glud & Marstrand - LRØ,13,6309,2011
40557,2473,Formolo  Davide,1992,Italy,Petroli Firenze,11,11011,2011
40629,2561,Longo Borghini  Paolo,1980,Italy,Liquigas-Cannondale,10,566,2011
40685,2652,Kashechkin  Andrey,1980,Kazakhstan,Lampre-ISD,9,250,2011
40859,2747,Vuillermoz  Alexis,1988,France,C.C. Etupes,8,14716,2011
40915,2861,Theuns  Edward,1991,Belgium,,7,10382,2011
41385,3318,Bevin  Patrick,1991,New Zealand,Bissell Cycling Team,4,3287,2011
41472,3318,Bevin  Patrick,1991,New Zealand,Bissell Cycling Team,4,3287,2011
41984,3756,Teuns  Dylan,1992,Belgium,Jong Vlaandern - Bauckneckt,2,8068,2011
42062,3756,Breen  Vegard,1990,Norway,Joker Merida,2,774,2011
1,1,Rodríguez  Joaquim,1979,Spain,Katusha Team,3328,246,2012
2,2,Wiggins  Bradley,1980,Great Britain,Sky ProCycling,3046,47,2012
4,4,Sagan  Peter,1990,Slovakia,Liquigas-Cannondale,2349,784,2012
9,9,Degenkolb  John,1989,Germany,Argos - Shimano,1985,1013,2012
11,11,Costa  Rui,1986,Portugal,Movistar Team,1749,114,2012
13,13,Moreno  Daniel,1981,Spain,Katusha Team,1641,335,2012
19,19,Cavendish  Mark,1985,Great Britain,Sky ProCycling,1458,14,2012
25,25,Chavanel  Sylvain,1979,France,Omega Pharma - Quick Step,1272,167,2012
28,28,Gerrans  Simon,1980,Australia,Orica - GreenEDGE,1217,339,2012
29,29,Gesink  Robert,1986,Netherlands,Rabobank,1213,41,2012
32,32,Cunego  Damiano,1981,Italy,Lampre-ISD,1175,149,2012
35,35,Cancellara  Fabian,1981,Switzerland,RadioShack-Nissan,1130,12,2012
38,38,Brajkovic  Janez,1983,Slovenia,Astana Pro Team,1104,252,2012
40,40,Scarponi  Michele,1979,Italy,Lampre-ISD,1095,27,2012
42,42,Kreuziger  Roman,1986,Czech Republic,Astana Pro Team,1068,36,2012
46,46,Simon  Julien,1985,France,Saur - Sojasun,1045,964,2012
47,47,Goss  Matthew,1986,Australia,Orica - GreenEDGE,1042,512,2012
48,48,Coppel  Jérôme,1986,France,Saur - Sojasun,1036,99,2012
52,52,Démare  Arnaud,1991,France,FDJ - BigMat,1017,2337,2012
54,54,Renshaw  Mark,1982,Australia,Rabobank,992,97,2012
56,56,Visconti  Giovanni,1983,Italy,Movistar Team,978,486,2012
62,62,Nordhaug  Lars Petter,1984,Norway,Sky ProCycling,880,408,2012
63,63,Horner  Chris,1971,USA,RadioShack-Nissan,878,323,2012
72,72,Fuglsang  Jakob,1985,Denmark,RadioShack-Nissan,834,264,2012
73,73,Durbridge  Luke,1991,Australia,Orica - GreenEDGE,832,2327,2012
82,82,Betancur  Carlos,1989,Colombia,Acqua e Sapone,772,1001,2012
92,92,Zubeldia  Haimar,1977,Spain,RadioShack-Nissan,721,87,2012
95,95,Machado  Tiago,1985,Portugal,RadioShack-Nissan,706,708,2012
97,97,Turgot  Sébastien,1984,France,Team Europcar,701,522,2012
98,98,Brambilla  Gianluca,1987,Italy,Colnago - CSF Inox,698,2741,2012
99,99,Poels  Wout,1987,Netherlands,Vacansoleil - DCM,691,929,2012
104,104,Hivert  Jonathan,1985,France,Saur - Sojasun,675,169,2012
105,105,Gavazzi  Francesco,1984,Italy,Astana Pro Team,674,580,2012
112,111,Caruso  Damiano,1987,Italy,Liquigas-Cannondale,637,1006,2012
114,114,Roy  Jérémy,1983,France,FDJ - BigMat,626,106,2012
117,117,Cataldo  Dario,1985,Italy,Omega Pharma - Quick Step,616,532,2012
120,120,Haussler  Heinrich,1984,Australia,Garmin - Sharp,605,120,2012
123,123,Navardauskas  Ramunas,1988,Lithuania,Garmin - Sharp,592,1709,2012
124,124,Pellizotti  Franco,1978,Italy,Androni Giocattoli - Venezuela,591,134,2012
126,124,Castroviejo  Jonathan,1987,Spain,Movistar Team,591,871,2012
133,133,Gusev  Vladimir,1982,Russia,Katusha Team,580,482,2012
135,135,Rojas  José Joaquin,1985,Spain,Movistar Team,569,116,2012
137,135,Felline  Fabio,1990,Italy,Androni Giocattoli - Venezuela,569,1580,2012
140,140,Tiralongo  Paolo,1977,Italy,Astana Pro Team,563,359,2012
141,140,Kwiatkowski  Michal,1990,Poland,Omega Pharma - Quick Step,563,2961,2012
146,145,Kiryienka  Vasil,1981,Belarus,Movistar Team,552,402,2012
151,151,Ten Dam  Laurens,1980,Netherlands,Rabobank,538,80,2012
154,154,Verdugo  Gorka,1978,Spain,Euskaltel-Euskadi,529,61,2012
161,161,Cantwell  Jonathan,1982,Australia,Saxo Bank - Tinkoff Bank,511,1912,2012
162,162,Serpa  José,1979,Colombia,Androni Giocattoli - Venezuela,508,463,2012
165,165,Swift  Ben,1987,Great Britain,Sky ProCycling,500,828,2012
167,166,Boivin  Guillaume,1989,Canada,Team Spidertech p/b C10,494,1937,2012
170,170,Nieve  Mikel,1984,Spain,Euskaltel-Euskadi,486,868,2012
172,172,Bozic  Borut,1980,Slovenia,Astana Pro Team,476,387,2012
177,176,Marczynski  Tomasz,1984,Poland,Vacansoleil - DCM,470,2281,2012
178,178,Moreno  Javier,1984,Spain,Movistar Team,469,2118,2012
181,181,Janse van Rensburg  Reinardt,1989,South Africa,MTN-Qhubeka,462,6559,2012
185,185,Dupont  Hubert,1980,France,AG2R La Mondiale,459,186,2012
193,193,Péraud  Jean-Christophe,1977,France,AG2R La Mondiale,445,1151,2012
194,193,Gatto  Oscar,1985,Italy,Farnese Vini - Selle Italia,445,1973,2012
197,197,Vachon  Florian,1985,France,Bretagne - Schuller,442,1016,2012
204,204,Wynants  Maarten,1982,Belgium,Rabobank,426,367,2012
205,205,Kruijswijk  Steven,1987,Netherlands,Rabobank,425,730,2012
207,207,Mezgec  Luka,1988,Slovenia,Sava,423,9234,2012
209,209,El Fares  Julien,1985,France,Team Type 1 - Sanofi,419,345,2012
214,213,Richeze  Maximiliano,1983,Argentina,Team Nippo,417,624,2012
217,217,Szmyd  Sylwester,1978,Poland,Liquigas-Cannondale,411,360,2012
218,218,Galland  Jérémie,1983,France,Saur - Sojasun,408,959,2012
219,219,Barta  Jan,1984,Czech Republic,Team NetApp,407,990,2012
226,226,van Poppel  Boy,1988,Netherlands,Unitedhealthcare PCT,399,3187,2012
231,231,Ciolek  Gerald,1986,Germany,Omega Pharma - Quick Step,391,20,2012
236,236,Slagter  Tom-Jelte,1989,Netherlands,Rabobank,385,1714,2012
242,242,Jungels  Bob,1992,Luxembourg,Leopard - Trek CT,373,6413,2012
248,247,Brändle  Matthias,1989,Austria,Team NetApp,367,875,2012
258,258,Bardet  Romain,1990,France,AG2R La Mondiale,354,2275,2012
259,258,Colbrelli  Sonny,1990,Italy,Colnago - CSF Inox,354,2338,2012
264,264,Zabriskie  David,1979,USA,Garmin - Sharp,348,48,2012
272,272,Koren  Kristjan,1986,Slovenia,Liquigas-Cannondale,341,782,2012
274,274,Delage  Mickaël,1985,France,FDJ - BigMat,339,155,2012
281,281,Vichot  Arthur,1988,France,FDJ - BigMat,333,861,2012
283,283,Garcia  Egoitz,1986,Spain,Cofidis,331,3928,2012
284,284,Veilleux  David,1987,Canada,Team Europcar,323,1012,2012
286,286,Delaplace  Anthony,1989,France,Saur - Sojasun,322,965,2012
288,288,Di Gregorio  Rémy,1985,France,Cofidis,319,105,2012
289,288,Grivko  Andriy,1983,Ukraine,Astana Pro Team,319,494,2012
299,298,Atapuma  Darwin,1988,Colombia,Colombia - Coldeportes,312,2280,2012
307,307,Bodnar  Maciej,1985,Poland,Liquigas-Cannondale,300,361,2012
308,308,Martinez  Egoi,1978,Spain,Euskaltel-Euskadi,298,57,2012
310,308,Gruzdev  Dmitriy,1986,Kazakhstan,Astana Pro Team,298,5836,2012
314,314,Ignatiev  Mikhail,1985,Russia,Katusha Team,295,71,2012
317,316,Arashiro  Yukiya,1984,Japan,Team Europcar,293,163,2012
321,321,Sørensen  Nicki,1975,Denmark,Saxo Bank - Tinkoff Bank,290,16,2012
322,322,Mori  Manuele,1980,Italy,Lampre-ISD,289,492,2012
325,325,Preidler  Georg,1990,Austria,Team Type 1 - Sanofi,287,6244,2012
328,328,Majka  Rafal,1989,Poland,Saxo Bank - Tinkoff Bank,284,3991,2012
333,333,Pérez Moreno  Rubén,1981,Spain,Euskaltel-Euskadi,282,59,2012
334,334,Kangert  Tanel,1987,Estonia,Astana Pro Team,281,1018,2012
339,339,Sutherland  Rory,1982,Australia,Unitedhealthcare PCT,277,1206,2012
340,340,Geschke  Simon,1986,Germany,Argos - Shimano,276,168,2012
344,344,Gène  Yohann,1981,France,Team Europcar,270,904,2012
352,350,McCarthy  Jay,1992,Australia,Team Jayco-AIS,264,4778,2012
361,358,Groenewegen  Dylan,1993,Netherlands,Cycling Team De Rijke - Shanks,260,7720,2012
363,363,Steegmans  Gert,1980,Belgium,Omega Pharma - Quick Step,258,175,2012
365,365,Geniez  Alexandre,1988,France,Argos - Shimano,256,948,2012
370,370,Urtasun  Pablo,1980,Spain,Euskaltel-Euskadi,253,869,2012
377,377,Zakarin  Ilnur,1989,Russia,Itera - Katusha,247,9128,2012
383,383,Sabatini  Fabio,1985,Italy,Liquigas-Cannondale,240,122,2012
388,386,Wallays  Jelle,1989,Belgium,Topsport Vlaanderen - Mercator,238,1276,2012
408,408,Weening  Pieter,1981,Netherlands,Orica - GreenEDGE,221,300,2012
410,410,Moncoutié  David,1975,France,Cofidis,220,63,2012
411,411,Millar  David,1977,Great Britain,Garmin - Sharp,218,43,2012
413,412,Oliveira  Nelson,1989,Portugal,RadioShack-Nissan,216,1008,2012
417,417,Kroon  Karsten,1976,Netherlands,Saxo Bank - Tinkoff Bank,212,248,2012
421,421,López  David,1981,Spain,Movistar Team,211,336,2012
430,427,Kochetkov  Pavel,1986,Russia,Itera - Katusha,209,2320,2012
